airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,date
Air India,5033,Mumbai,Evening,0,Evening,Hyderabad,Economy,2.91,58,8643,1/13/2023
SpiceJet,2997,Bangalore,Morning,2,Morning,Goa,Business,2.91,19,10701,1/14/2023
Air India,4687,Mumbai,Evening,1,Evening,Kolkata,Economy,4.07,1,3823,1/15/2023
SpiceJet,5018,Delhi,Afternoon,1,Morning,Kolkata,Economy,3.51,5,8852,1/16/2023
IndiGo,2970,Chennai,Morning,2,Night,Goa,Economy,3.53,51,13133,1/17/2023
IndiGo,9389,Chennai,Morning,0,Afternoon,Pune,Business,2.8,22,9777,1/18/2023
IndiGo,6765,Delhi,Afternoon,2,Night,Goa,Economy,3.12,24,6232,1/19/2023
Vistara,2202,Mumbai,Afternoon,2,Evening,Hyderabad,Business,3.98,43,8519,1/20/2023
IndiGo,9135,Bangalore,Afternoon,1,Night,Pune,Business,4.3,45,12326,1/21/2023
SpiceJet,6567,Bangalore,Afternoon,2,Evening,Hyderabad,Economy,3.79,52,3777,1/22/2023
IndiGo,8667,Delhi,Afternoon,2,Morning,Goa,Economy,4.7,37,3222,1/23/2023
Air India,6742,Bangalore,Morning,1,Morning,Pune,Business,4.28,53,9630,1/24/2023
Air India,6788,Mumbai,Afternoon,1,Evening,Hyderabad,Business,3.25,36,13859,1/25/2023
Vistara,6408,Mumbai,Morning,1,Night,Goa,Economy,3.69,36,3777,1/26/2023
Air India,9669,Delhi,Morning,1,Morning,Goa,Economy,4.71,4,11496,1/27/2023
SpiceJet,1922,Mumbai,Afternoon,2,Afternoon,Pune,Business,3.48,36,9490,1/28/2023
IndiGo,1419,Chennai,Afternoon,2,Morning,Goa,Business,4.3,52,6859,1/29/2023
Vistara,3204,Delhi,Night,0,Afternoon,Kolkata,Business,3.76,53,10893,1/30/2023
IndiGo,2120,Mumbai,Morning,0,Night,Hyderabad,Business,3.21,18,10118,1/1/2023
IndiGo,1950,Delhi,Afternoon,2,Afternoon,Hyderabad,Business,1.97,50,4989,1/2/2023
SpiceJet,3336,Bangalore,Afternoon,0,Afternoon,Goa,Economy,2.7,16,10343,1/3/2023
Air India,6373,Mumbai,Afternoon,2,Afternoon,Goa,Business,4.87,41,3325,1/4/2023
Air India,3243,Chennai,Night,0,Afternoon,Kolkata,Business,3.63,18,11493,1/5/2023
IndiGo,3645,Mumbai,Night,1,Morning,Pune,Economy,3.26,22,13914,1/6/2023
Vistara,5612,Delhi,Evening,0,Afternoon,Goa,Economy,4.73,2,11903,1/7/2023
Air India,2865,Delhi,Morning,1,Morning,Goa,Business,3.35,21,7127,1/8/2023
Vistara,7028,Mumbai,Evening,1,Afternoon,Goa,Business,3.1,36,10998,1/9/2023
Air India,8326,Chennai,Afternoon,1,Evening,Goa,Economy,4.04,44,14522,1/10/2023
Vistara,7371,Chennai,Night,1,Night,Hyderabad,Business,3.85,39,4722,1/11/2023
SpiceJet,7359,Chennai,Night,0,Afternoon,Goa,Business,1.77,47,6656,1/12/2023
Vistara,8863,Delhi,Evening,2,Evening,Hyderabad,Economy,2.89,39,3325,1/13/2023
SpiceJet,4228,Mumbai,Night,1,Afternoon,Goa,Business,2.89,29,6133,1/14/2023
SpiceJet,4719,Bangalore,Afternoon,0,Afternoon,Pune,Economy,2.51,54,11351,1/15/2023
Vistara,3371,Delhi,Night,1,Afternoon,Kolkata,Economy,3.07,26,4869,1/16/2023
SpiceJet,3891,Chennai,Evening,0,Evening,Pune,Economy,2.65,21,14708,1/17/2023
IndiGo,4756,Mumbai,Afternoon,0,Night,Goa,Economy,1.8,17,3242,1/18/2023
SpiceJet,5225,Chennai,Evening,0,Evening,Goa,Business,2.65,16,10539,1/19/2023
Air India,1094,Bangalore,Night,2,Night,Goa,Economy,1.29,31,3831,1/20/2023
Vistara,3674,Chennai,Evening,0,Afternoon,Pune,Business,3.3,51,3569,1/21/2023
IndiGo,7898,Chennai,Evening,0,Morning,Goa,Business,4.41,9,14127,1/22/2023
Vistara,1793,Bangalore,Morning,2,Afternoon,Pune,Business,3.9,31,9246,1/23/2023
Air India,3116,Mumbai,Night,2,Night,Hyderabad,Business,2.44,14,3918,1/24/2023
Air India,6779,Delhi,Night,0,Evening,Kolkata,Business,1.35,49,8416,1/25/2023
Air India,7166,Mumbai,Evening,2,Afternoon,Kolkata,Economy,1.81,37,5232,1/26/2023
SpiceJet,1814,Bangalore,Morning,1,Evening,Pune,Economy,3.18,2,5758,1/27/2023
SpiceJet,1345,Chennai,Night,1,Evening,Hyderabad,Economy,1.83,52,7997,1/28/2023
Vistara,9554,Mumbai,Afternoon,2,Evening,Pune,Economy,3.18,48,4355,1/29/2023
Vistara,3443,Delhi,Evening,2,Afternoon,Hyderabad,Business,1.93,46,11589,1/30/2023
IndiGo,8783,Bangalore,Night,0,Evening,Goa,Economy,4.4,14,12972,1/1/2023
IndiGo,1984,Mumbai,Afternoon,2,Evening,Hyderabad,Business,2.59,59,3824,1/2/2023
Vistara,8790,Delhi,Night,0,Afternoon,Hyderabad,Business,1.98,33,12683,1/3/2023
SpiceJet,1827,Bangalore,Afternoon,1,Evening,Hyderabad,Economy,4.25,35,9280,1/4/2023
Air India,4531,Delhi,Evening,2,Afternoon,Kolkata,Economy,2.37,58,6060,1/5/2023
Vistara,8147,Bangalore,Night,0,Night,Hyderabad,Economy,1.45,39,7324,1/6/2023
IndiGo,5451,Chennai,Night,0,Night,Goa,Economy,3.28,58,2404,1/7/2023
SpiceJet,4876,Mumbai,Morning,1,Night,Goa,Business,3.33,47,3721,1/8/2023
Vistara,6959,Delhi,Evening,2,Evening,Goa,Business,3.86,51,7316,1/9/2023
Vistara,1126,Bangalore,Afternoon,1,Morning,Hyderabad,Economy,1.96,20,13017,1/10/2023
SpiceJet,4177,Delhi,Night,0,Morning,Pune,Business,2.78,2,5845,1/11/2023
Vistara,9795,Delhi,Night,0,Evening,Pune,Business,2.13,51,6210,1/12/2023
SpiceJet,7024,Mumbai,Afternoon,2,Morning,Goa,Business,1.32,41,13384,1/13/2023
Air India,6109,Chennai,Evening,0,Afternoon,Kolkata,Economy,4.51,19,2064,1/14/2023
SpiceJet,5146,Delhi,Morning,2,Morning,Pune,Business,3.92,59,11491,1/15/2023
SpiceJet,8196,Bangalore,Morning,1,Evening,Hyderabad,Economy,2.21,37,8382,1/16/2023
SpiceJet,4368,Bangalore,Night,2,Evening,Pune,Economy,3.4,18,11607,1/17/2023
Vistara,4797,Chennai,Afternoon,2,Afternoon,Goa,Business,1.81,16,13785,1/18/2023
Vistara,2792,Bangalore,Night,0,Night,Kolkata,Business,4.56,4,2968,1/19/2023
SpiceJet,6732,Chennai,Afternoon,0,Evening,Pune,Economy,1.46,12,2368,1/20/2023
Vistara,4476,Bangalore,Morning,2,Afternoon,Pune,Business,1.02,29,10424,1/21/2023
IndiGo,4417,Mumbai,Evening,0,Morning,Goa,Business,3.01,7,4242,1/22/2023
IndiGo,2645,Delhi,Afternoon,0,Morning,Kolkata,Economy,3.33,14,7002,1/23/2023
Vistara,4030,Mumbai,Morning,0,Afternoon,Kolkata,Economy,3.32,55,5083,1/24/2023
Vistara,3872,Delhi,Night,2,Afternoon,Goa,Economy,1.22,12,10073,1/25/2023
SpiceJet,4072,Delhi,Afternoon,0,Evening,Hyderabad,Economy,2.26,35,11112,1/26/2023
Air India,2854,Delhi,Evening,2,Morning,Pune,Business,3.0,5,10880,1/27/2023
Vistara,5021,Mumbai,Night,0,Afternoon,Hyderabad,Business,1.87,17,14464,1/28/2023
IndiGo,5662,Delhi,Night,1,Morning,Pune,Economy,4.49,58,3469,1/29/2023
SpiceJet,7514,Mumbai,Morning,0,Afternoon,Pune,Economy,1.35,42,6725,1/30/2023
Vistara,6031,Chennai,Afternoon,0,Morning,Hyderabad,Economy,2.95,32,6259,1/1/2023
IndiGo,3708,Bangalore,Night,2,Night,Goa,Business,3.77,10,5622,1/2/2023
IndiGo,8112,Bangalore,Evening,2,Evening,Goa,Economy,2.05,43,12292,1/3/2023
Air India,9393,Delhi,Afternoon,0,Morning,Pune,Business,3.5,17,12457,1/4/2023
SpiceJet,4507,Mumbai,Evening,1,Night,Goa,Economy,4.32,5,13981,1/5/2023
SpiceJet,7456,Bangalore,Night,0,Morning,Pune,Economy,1.76,45,2823,1/6/2023
Air India,5212,Mumbai,Evening,0,Morning,Goa,Economy,4.67,42,5431,1/7/2023
Air India,8970,Mumbai,Morning,1,Night,Pune,Business,3.21,9,8528,1/8/2023
SpiceJet,9766,Delhi,Evening,2,Morning,Goa,Business,2.2,49,6151,1/9/2023
SpiceJet,1536,Bangalore,Afternoon,0,Morning,Kolkata,Business,2.72,33,6213,1/10/2023
Vistara,2625,Delhi,Evening,2,Evening,Hyderabad,Economy,2.25,36,9420,1/11/2023
Vistara,8973,Delhi,Evening,2,Night,Kolkata,Business,3.9,36,10989,1/12/2023
Air India,9577,Bangalore,Morning,1,Night,Hyderabad,Business,4.19,18,2779,1/13/2023
Vistara,9070,Bangalore,Evening,1,Afternoon,Hyderabad,Economy,4.33,9,13042,1/14/2023
IndiGo,9666,Chennai,Evening,2,Morning,Pune,Economy,4.94,57,4892,1/15/2023
Vistara,9609,Chennai,Night,0,Evening,Hyderabad,Business,4.17,29,7534,1/16/2023
Vistara,7490,Mumbai,Night,2,Morning,Kolkata,Business,3.41,50,12085,1/17/2023
IndiGo,4600,Bangalore,Afternoon,0,Morning,Kolkata,Business,2.36,14,5306,1/18/2023
Air India,7783,Chennai,Night,0,Afternoon,Goa,Business,3.18,25,4902,1/19/2023
IndiGo,5971,Mumbai,Night,1,Morning,Kolkata,Economy,1.16,15,14995,1/20/2023
Vistara,2205,Mumbai,Night,0,Evening,Goa,Economy,3.98,6,5718,1/21/2023
Air India,2990,Mumbai,Night,0,Evening,Hyderabad,Economy,2.78,56,2021,1/22/2023
Vistara,6299,Chennai,Morning,2,Afternoon,Kolkata,Business,1.08,42,3500,1/23/2023
IndiGo,4572,Bangalore,Night,1,Morning,Hyderabad,Business,1.25,29,11034,1/24/2023
IndiGo,6975,Delhi,Morning,0,Evening,Kolkata,Economy,2.55,15,11952,1/25/2023
Vistara,7320,Mumbai,Morning,0,Morning,Kolkata,Economy,3.33,29,5641,1/26/2023
SpiceJet,5380,Chennai,Night,1,Morning,Goa,Business,2.86,4,7212,1/27/2023
SpiceJet,5757,Chennai,Evening,2,Morning,Hyderabad,Business,3.48,18,2191,1/28/2023
IndiGo,3713,Delhi,Morning,1,Afternoon,Kolkata,Economy,2.92,50,10587,1/29/2023
IndiGo,6588,Delhi,Evening,1,Morning,Pune,Economy,3.65,57,9174,1/30/2023
SpiceJet,1966,Chennai,Evening,0,Evening,Hyderabad,Economy,1.88,49,7114,1/1/2023
SpiceJet,5944,Bangalore,Night,0,Morning,Hyderabad,Business,1.45,44,6662,1/2/2023
Vistara,4432,Delhi,Afternoon,2,Evening,Hyderabad,Business,3.39,39,6326,1/3/2023
Vistara,1688,Chennai,Night,0,Morning,Goa,Business,2.94,16,11065,1/4/2023
SpiceJet,5243,Delhi,Afternoon,0,Evening,Pune,Business,1.11,11,12813,1/5/2023
Vistara,4701,Bangalore,Afternoon,1,Evening,Hyderabad,Business,2.52,14,6335,1/6/2023
Vistara,9533,Mumbai,Night,0,Morning,Kolkata,Business,1.42,3,10281,1/7/2023
Air India,6182,Delhi,Night,2,Morning,Kolkata,Economy,3.13,51,12471,1/8/2023
Vistara,7704,Bangalore,Afternoon,1,Evening,Goa,Economy,2.58,50,10648,1/9/2023
IndiGo,5422,Chennai,Night,2,Night,Kolkata,Business,3.45,42,12472,1/10/2023
Vistara,2759,Delhi,Afternoon,1,Afternoon,Hyderabad,Economy,4.22,38,14641,1/11/2023
Vistara,3482,Delhi,Evening,0,Night,Kolkata,Business,2.2,45,11196,1/12/2023
SpiceJet,9058,Chennai,Night,1,Night,Hyderabad,Economy,4.85,42,14726,1/13/2023
IndiGo,1951,Mumbai,Evening,1,Morning,Kolkata,Business,3.14,18,7494,1/14/2023
Vistara,9914,Chennai,Morning,0,Afternoon,Pune,Economy,3.47,58,10536,1/15/2023
Vistara,3079,Delhi,Evening,0,Night,Goa,Economy,3.72,20,4711,1/16/2023
Air India,3717,Chennai,Evening,2,Morning,Goa,Business,3.67,58,9595,1/17/2023
Vistara,5524,Bangalore,Afternoon,2,Night,Pune,Business,3.04,48,14944,1/18/2023
Vistara,9477,Chennai,Evening,0,Night,Pune,Economy,2.72,25,8273,1/19/2023
Air India,8311,Delhi,Night,0,Morning,Goa,Economy,1.22,57,8284,1/20/2023
SpiceJet,8186,Chennai,Afternoon,0,Morning,Pune,Business,1.09,38,12654,1/21/2023
Vistara,3065,Mumbai,Morning,1,Morning,Hyderabad,Economy,2.43,13,11308,1/22/2023
Air India,1768,Chennai,Night,1,Afternoon,Kolkata,Business,2.33,4,10817,1/23/2023
IndiGo,6490,Mumbai,Morning,1,Night,Goa,Business,2.55,55,14571,1/24/2023
SpiceJet,7645,Bangalore,Evening,0,Morning,Pune,Economy,1.55,14,12171,1/25/2023
IndiGo,6083,Mumbai,Night,2,Evening,Hyderabad,Business,3.95,33,5994,1/26/2023
IndiGo,6232,Chennai,Night,0,Night,Goa,Economy,4.43,28,3678,1/27/2023
Air India,6797,Delhi,Morning,1,Evening,Pune,Economy,4.75,52,10414,1/28/2023
Vistara,5926,Mumbai,Night,1,Afternoon,Goa,Business,2.97,37,2743,1/29/2023
Air India,7016,Bangalore,Night,0,Morning,Pune,Economy,3.8,8,2462,1/30/2023
Air India,4335,Mumbai,Night,0,Evening,Goa,Business,4.42,44,3568,1/1/2023
Air India,9038,Mumbai,Evening,1,Afternoon,Hyderabad,Business,2.67,34,13539,1/2/2023
Air India,5873,Mumbai,Morning,1,Morning,Hyderabad,Business,2.24,44,3736,1/3/2023
SpiceJet,2481,Bangalore,Night,1,Evening,Kolkata,Economy,4.75,5,14231,1/4/2023
Vistara,7305,Chennai,Afternoon,0,Evening,Goa,Business,3.06,54,9903,1/5/2023
IndiGo,4451,Mumbai,Afternoon,1,Afternoon,Kolkata,Economy,2.99,5,14143,1/6/2023
IndiGo,1054,Mumbai,Afternoon,1,Morning,Goa,Business,1.71,31,9002,1/7/2023
Vistara,8643,Delhi,Afternoon,2,Morning,Pune,Business,1.43,45,10856,1/8/2023
IndiGo,4462,Bangalore,Evening,0,Evening,Pune,Business,4.37,9,3356,1/9/2023
Vistara,1832,Mumbai,Night,2,Evening,Kolkata,Economy,3.46,42,3014,1/10/2023
IndiGo,6954,Bangalore,Morning,2,Evening,Goa,Economy,2.3,32,12324,1/11/2023
Air India,9519,Mumbai,Night,1,Morning,Kolkata,Business,1.77,33,12860,1/12/2023
IndiGo,8221,Chennai,Evening,0,Afternoon,Hyderabad,Business,3.22,3,3054,1/13/2023
Vistara,4310,Chennai,Afternoon,1,Afternoon,Kolkata,Economy,3.34,30,3764,1/14/2023
Vistara,4300,Mumbai,Evening,0,Morning,Kolkata,Economy,1.83,50,8009,1/15/2023
Vistara,7722,Chennai,Night,2,Night,Pune,Economy,4.41,12,6458,1/16/2023
Vistara,8218,Mumbai,Morning,0,Afternoon,Kolkata,Business,1.34,29,13061,1/17/2023
Vistara,8776,Chennai,Evening,1,Evening,Goa,Economy,2.42,3,11604,1/18/2023
SpiceJet,4675,Delhi,Morning,1,Night,Pune,Business,3.72,26,2667,1/19/2023
SpiceJet,4054,Delhi,Evening,1,Night,Kolkata,Economy,2.1,57,5370,1/20/2023
IndiGo,8970,Delhi,Morning,0,Afternoon,Hyderabad,Business,4.31,30,7976,1/21/2023
Vistara,3143,Bangalore,Morning,2,Night,Kolkata,Business,3.96,9,3394,1/22/2023
IndiGo,6207,Bangalore,Afternoon,2,Night,Kolkata,Business,4.16,26,10290,1/23/2023
Vistara,3538,Delhi,Morning,0,Afternoon,Kolkata,Economy,1.48,2,6070,1/24/2023
Vistara,5547,Bangalore,Afternoon,1,Afternoon,Pune,Economy,1.56,3,8982,1/25/2023
SpiceJet,6619,Chennai,Night,2,Night,Goa,Economy,2.15,46,10613,1/26/2023
SpiceJet,9356,Mumbai,Night,1,Evening,Hyderabad,Business,3.07,4,7599,1/27/2023
Air India,7612,Mumbai,Afternoon,0,Morning,Kolkata,Business,3.99,25,5650,1/28/2023
SpiceJet,6005,Mumbai,Afternoon,1,Night,Goa,Economy,4.35,51,14349,1/29/2023
Air India,1822,Delhi,Evening,2,Night,Goa,Business,3.82,13,11324,1/30/2023
Air India,1943,Bangalore,Evening,2,Evening,Pune,Business,4.71,39,11894,1/1/2023
Air India,7150,Chennai,Evening,1,Night,Hyderabad,Business,3.95,44,5620,1/2/2023
Air India,5425,Chennai,Night,0,Night,Pune,Economy,2.23,35,5190,1/3/2023
Air India,9966,Delhi,Evening,1,Morning,Goa,Business,2.06,55,10789,1/4/2023
IndiGo,3198,Chennai,Morning,0,Morning,Goa,Economy,3.78,23,2391,1/5/2023
SpiceJet,5242,Chennai,Morning,1,Morning,Goa,Economy,1.77,9,3075,1/6/2023
Air India,4695,Chennai,Evening,2,Afternoon,Pune,Economy,1.37,2,4650,1/7/2023
Vistara,4452,Chennai,Morning,0,Afternoon,Hyderabad,Economy,3.13,54,4384,1/8/2023
SpiceJet,2308,Bangalore,Night,0,Morning,Kolkata,Economy,4.29,41,2809,1/9/2023
SpiceJet,5177,Chennai,Morning,0,Morning,Pune,Business,1.41,44,10047,1/10/2023
Air India,9705,Mumbai,Night,2,Afternoon,Goa,Economy,4.17,31,13501,1/11/2023
IndiGo,7852,Delhi,Afternoon,1,Evening,Pune,Economy,4.25,44,7501,1/12/2023
Air India,7035,Bangalore,Afternoon,2,Night,Goa,Economy,2.93,47,13930,1/13/2023
IndiGo,4594,Chennai,Afternoon,0,Night,Kolkata,Business,1.23,2,8895,1/14/2023
Vistara,5841,Bangalore,Afternoon,1,Morning,Kolkata,Business,1.7,32,3159,1/15/2023
SpiceJet,2409,Chennai,Morning,2,Evening,Hyderabad,Business,3.83,18,9574,1/16/2023
Vistara,5566,Mumbai,Evening,0,Afternoon,Goa,Business,3.85,13,3531,1/17/2023
IndiGo,5491,Delhi,Morning,0,Morning,Hyderabad,Economy,4.59,46,7481,1/18/2023
IndiGo,2555,Chennai,Night,2,Evening,Hyderabad,Economy,3.33,5,9548,1/19/2023
Vistara,1804,Chennai,Morning,2,Evening,Kolkata,Business,1.5,58,6976,1/20/2023
IndiGo,2279,Chennai,Morning,2,Evening,Pune,Business,1.49,42,7695,1/21/2023
Vistara,8083,Chennai,Night,0,Afternoon,Pune,Business,3.88,44,12874,1/22/2023
SpiceJet,6986,Delhi,Afternoon,2,Afternoon,Hyderabad,Business,1.74,10,10445,1/23/2023
Vistara,6619,Delhi,Afternoon,0,Night,Kolkata,Economy,2.31,56,5548,1/24/2023
SpiceJet,2387,Mumbai,Afternoon,2,Night,Goa,Business,2.95,43,13377,1/25/2023
Vistara,3679,Delhi,Evening,0,Evening,Pune,Business,1.1,25,8163,1/26/2023
IndiGo,3106,Chennai,Night,0,Evening,Hyderabad,Business,2.0,34,8671,1/27/2023
Vistara,9173,Mumbai,Night,1,Afternoon,Pune,Business,2.63,37,7264,1/28/2023
IndiGo,5223,Mumbai,Morning,2,Night,Pune,Business,2.12,30,3231,1/29/2023
Vistara,5831,Mumbai,Evening,2,Evening,Goa,Business,1.55,7,4423,1/30/2023
Vistara,3768,Chennai,Afternoon,0,Night,Kolkata,Business,3.91,6,13767,1/1/2023
Air India,4186,Bangalore,Evening,0,Night,Goa,Economy,4.25,54,10071,1/2/2023
IndiGo,3573,Chennai,Night,0,Evening,Kolkata,Economy,2.03,55,6261,1/3/2023
Air India,3599,Delhi,Night,1,Afternoon,Pune,Economy,4.1,3,11765,1/4/2023
IndiGo,5033,Delhi,Morning,1,Evening,Hyderabad,Economy,2.54,13,4908,1/5/2023
Air India,9428,Chennai,Morning,0,Evening,Goa,Economy,3.03,3,6712,1/6/2023
SpiceJet,2304,Chennai,Night,2,Night,Kolkata,Economy,4.42,26,8755,1/7/2023
Vistara,8368,Mumbai,Afternoon,2,Evening,Pune,Business,4.0,57,11817,1/8/2023
IndiGo,6877,Chennai,Afternoon,1,Afternoon,Kolkata,Business,4.22,24,14190,1/9/2023
IndiGo,2301,Mumbai,Evening,1,Evening,Kolkata,Economy,1.55,53,5883,1/10/2023
Vistara,3541,Delhi,Night,0,Afternoon,Kolkata,Business,1.28,6,5515,1/11/2023
IndiGo,3051,Mumbai,Night,2,Afternoon,Pune,Economy,4.57,43,5403,1/12/2023
IndiGo,7809,Chennai,Afternoon,0,Night,Hyderabad,Business,2.55,58,6598,1/13/2023
Air India,9633,Delhi,Afternoon,1,Morning,Hyderabad,Business,2.15,49,7008,1/14/2023
IndiGo,9996,Bangalore,Night,2,Morning,Hyderabad,Business,3.9,42,8222,1/15/2023
SpiceJet,1074,Mumbai,Morning,2,Night,Kolkata,Business,4.35,12,14872,1/16/2023
SpiceJet,7981,Delhi,Night,1,Evening,Pune,Business,4.45,49,12150,1/17/2023
Vistara,6475,Mumbai,Night,0,Night,Kolkata,Business,2.26,36,6009,1/18/2023
IndiGo,9232,Delhi,Afternoon,0,Afternoon,Hyderabad,Economy,4.41,2,4735,1/19/2023
Vistara,8184,Delhi,Afternoon,2,Morning,Hyderabad,Economy,1.16,11,6491,1/20/2023
SpiceJet,6796,Mumbai,Morning,1,Night,Pune,Business,1.2,39,13366,1/21/2023
IndiGo,8141,Bangalore,Morning,2,Evening,Kolkata,Economy,3.49,34,10593,1/22/2023
IndiGo,2622,Delhi,Evening,1,Night,Goa,Business,1.25,26,2974,1/23/2023
Vistara,9041,Delhi,Night,0,Morning,Goa,Economy,2.3,18,2223,1/24/2023
SpiceJet,1341,Delhi,Afternoon,1,Night,Hyderabad,Business,3.69,21,6613,1/25/2023
IndiGo,3074,Bangalore,Morning,0,Night,Pune,Economy,2.35,36,8777,1/26/2023
Vistara,8992,Bangalore,Evening,1,Morning,Kolkata,Business,1.72,40,10427,1/27/2023
SpiceJet,1645,Chennai,Evening,2,Afternoon,Kolkata,Economy,2.13,52,13690,1/28/2023
Vistara,5263,Mumbai,Afternoon,0,Afternoon,Hyderabad,Business,2.83,46,6211,1/29/2023
Air India,9801,Bangalore,Afternoon,2,Morning,Hyderabad,Economy,2.9,44,13426,1/30/2023
IndiGo,7136,Mumbai,Evening,2,Night,Kolkata,Business,4.13,22,2225,1/1/2023
Air India,9646,Chennai,Morning,0,Morning,Kolkata,Business,4.0,53,12469,1/2/2023
SpiceJet,3969,Mumbai,Evening,0,Afternoon,Hyderabad,Business,2.83,59,10183,1/3/2023
Air India,4028,Bangalore,Night,2,Evening,Kolkata,Economy,4.38,30,6277,1/4/2023
Air India,8643,Mumbai,Night,2,Night,Goa,Economy,1.46,50,3341,1/5/2023
SpiceJet,3681,Bangalore,Afternoon,2,Afternoon,Hyderabad,Economy,2.02,43,6036,1/6/2023
Vistara,4629,Mumbai,Morning,2,Night,Kolkata,Business,4.31,30,10401,1/7/2023
Air India,5225,Bangalore,Morning,0,Morning,Hyderabad,Economy,2.51,8,5727,1/8/2023
Vistara,4067,Bangalore,Night,0,Evening,Pune,Business,4.92,34,5928,1/9/2023
Air India,6941,Mumbai,Evening,2,Morning,Hyderabad,Economy,2.87,57,4803,1/10/2023
Vistara,2386,Chennai,Afternoon,1,Evening,Hyderabad,Economy,4.17,47,11301,1/11/2023
SpiceJet,3866,Delhi,Evening,1,Night,Pune,Economy,2.61,9,8558,1/12/2023
Air India,5788,Chennai,Evening,0,Night,Goa,Economy,2.7,51,12218,1/13/2023
SpiceJet,6490,Mumbai,Evening,2,Morning,Kolkata,Business,2.53,20,2393,1/14/2023
Air India,5124,Chennai,Morning,2,Evening,Pune,Economy,3.88,40,8839,1/15/2023
SpiceJet,9340,Bangalore,Night,0,Evening,Hyderabad,Economy,3.19,25,11035,1/16/2023
SpiceJet,4850,Delhi,Morning,1,Night,Kolkata,Business,4.78,19,11716,1/17/2023
Air India,6415,Mumbai,Night,1,Morning,Pune,Business,2.0,5,10795,1/18/2023
Air India,8679,Mumbai,Afternoon,1,Evening,Kolkata,Economy,1.4,11,2581,1/19/2023
Air India,7819,Mumbai,Afternoon,0,Night,Kolkata,Economy,2.57,15,12131,1/20/2023
IndiGo,9378,Delhi,Evening,1,Afternoon,Pune,Business,3.47,8,2132,1/21/2023
Vistara,2333,Bangalore,Night,0,Morning,Kolkata,Business,4.44,19,4838,1/22/2023
IndiGo,5150,Mumbai,Night,0,Afternoon,Goa,Business,2.38,23,5385,1/23/2023
IndiGo,7766,Chennai,Night,2,Morning,Pune,Economy,3.62,27,5770,1/24/2023
SpiceJet,3711,Mumbai,Evening,1,Night,Goa,Economy,2.4,40,4268,1/25/2023
Air India,5853,Mumbai,Evening,0,Evening,Hyderabad,Economy,3.47,32,2975,1/26/2023
Vistara,7212,Mumbai,Afternoon,1,Evening,Kolkata,Business,4.54,26,9605,1/27/2023
SpiceJet,8479,Mumbai,Morning,1,Evening,Hyderabad,Business,1.93,27,9213,1/28/2023
IndiGo,6408,Bangalore,Night,2,Morning,Hyderabad,Business,2.62,19,12005,1/29/2023
Air India,8715,Chennai,Night,1,Night,Kolkata,Economy,4.97,50,13455,1/30/2023
SpiceJet,9942,Bangalore,Morning,2,Afternoon,Pune,Business,4.47,42,11735,1/1/2023
Air India,2762,Chennai,Night,0,Night,Kolkata,Economy,3.26,29,4835,1/2/2023
SpiceJet,8101,Mumbai,Evening,1,Afternoon,Hyderabad,Business,3.07,39,4738,1/3/2023
Air India,8674,Delhi,Evening,0,Morning,Hyderabad,Economy,2.14,41,11549,1/4/2023
IndiGo,7122,Bangalore,Night,1,Morning,Pune,Economy,3.07,33,6134,1/5/2023
Vistara,1481,Delhi,Evening,0,Afternoon,Kolkata,Business,4.39,19,11508,1/6/2023
IndiGo,1153,Bangalore,Evening,1,Afternoon,Hyderabad,Economy,3.74,37,8833,1/7/2023
Vistara,8617,Mumbai,Night,1,Afternoon,Goa,Business,2.16,19,10353,1/8/2023
Air India,2524,Bangalore,Afternoon,1,Night,Hyderabad,Economy,1.81,33,3909,1/9/2023
SpiceJet,3120,Mumbai,Morning,1,Afternoon,Hyderabad,Business,2.06,47,11319,1/10/2023
IndiGo,3343,Bangalore,Evening,1,Morning,Pune,Business,1.68,16,14062,1/11/2023
Vistara,6136,Mumbai,Afternoon,1,Morning,Goa,Economy,1.38,23,11850,1/12/2023
IndiGo,6760,Mumbai,Evening,1,Evening,Hyderabad,Business,2.68,7,13317,1/13/2023
Vistara,2240,Chennai,Evening,1,Afternoon,Hyderabad,Economy,1.45,26,3963,1/14/2023
IndiGo,1060,Mumbai,Morning,1,Night,Goa,Business,1.69,32,7153,1/15/2023
Vistara,2639,Chennai,Evening,0,Night,Kolkata,Business,3.19,12,12481,1/16/2023
Vistara,7185,Mumbai,Morning,2,Night,Kolkata,Business,1.66,8,2966,1/17/2023
Air India,8970,Delhi,Morning,1,Evening,Hyderabad,Business,1.26,5,2889,1/18/2023
Vistara,2252,Mumbai,Morning,2,Morning,Hyderabad,Economy,2.27,42,5061,1/19/2023
Air India,5203,Delhi,Afternoon,1,Night,Kolkata,Business,1.88,28,8461,1/20/2023
Vistara,9363,Delhi,Night,1,Morning,Pune,Business,3.06,53,8166,1/21/2023
SpiceJet,4549,Mumbai,Afternoon,0,Evening,Goa,Economy,1.41,5,13821,1/22/2023
SpiceJet,5197,Delhi,Night,0,Afternoon,Goa,Economy,4.01,49,8967,1/23/2023
SpiceJet,8009,Chennai,Night,2,Afternoon,Pune,Economy,4.62,26,13381,1/24/2023
Vistara,7667,Bangalore,Morning,0,Afternoon,Pune,Economy,3.97,5,12940,1/25/2023
